cookie,time,interaction,conversion,conversion_value,channel
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020000,MemberRegistration,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020001,MemberRegistration,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020080,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020091,AddToCart,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020121,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020130,AddToCart,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020272,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020275,AddToCart,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODFn7pP2AlMvOtBlm5TsZmhJxoHukS0jDCK26eLza6u-VZK6NssM3pxoCNgMQAvD_BwE,1660020792,Purchase,1,648,google
EAIaIQobChMI_9PVuY65-QIVoplmAh0hPA50EAAYASAAEgICt_D_BwE,1660026358,MemberRegistration,0,0,google
EAIaIQobChMI_9PVuY65-QIVoplmAh0hPA50EAAYASAAEgICt_D_BwE,1660026867,ViewContent,0,0,google
EAIaIQobChMI_9PVuY65-QIVoplmAh0hPA50EAAYASAAEgICt_D_BwE,1660026875,AddToCart,0,0,google
EAIaIQobChMI_9PVuY65-QIVoplmAh0hPA50EAAYASAAEgICt_D_BwE,1660026963,ViewContent,0,0,google
EAIaIQobChMI_9PVuY65-QIVoplmAh0hPA50EAAYASAAEgICt_D_BwE,1660026966,AddToCart,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660045376,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660045382,AddToCart,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660045396,AddToCart,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660045490,Purchase,1,1590,google
CjwKCAjwi8iXBhBeEiwAKbUofU646f_57477eSbE19zN2Uc9y5JK-0vWufSSHvn8SUGOaf3aGTgNrhoC_0QQAvD_BwE,1660046412,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofU646f_57477eSbE19zN2Uc9y5JK-0vWufSSHvn8SUGOaf3aGTgNrhoC_0QQAvD_BwE,1660046419,AddToCart,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofU646f_57477eSbE19zN2Uc9y5JK-0vWufSSHvn8SUGOaf3aGTgNrhoC_0QQAvD_BwE,1660046439,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofU646f_57477eSbE19zN2Uc9y5JK-0vWufSSHvn8SUGOaf3aGTgNrhoC_0QQAvD_BwE,1660046443,AddToCart,0,0,google
